,County Name,State,Scaled
0,Statewide Unallocated,AL,4.0
1,Autauga County,AL,3.9981285046810706
2,Baldwin County,AL,3.9931017032356464
3,Barbour County,AL,3.9989820464713857
4,Bibb County,AL,3.9985342868436797
5,Blount County,AL,3.9985587736983197
6,Bullock County,AL,3.99944729670955
7,Butler County,AL,3.999296877459617
8,Calhoun County,AL,3.995221565223069
9,Chambers County,AL,3.984104533216418
10,Cherokee County,AL,3.9992409075061537
11,Chilton County,AL,3.997257472280298
12,Choctaw County,AL,3.9990485107911233
13,Clarke County,AL,3.998635732384332
14,Clay County,AL,3.998866608442368
15,Cleburne County,AL,3.999013529570209
16,Coffee County,AL,3.9970860642978163
17,Colbert County,AL,3.9990240239364834
18,Conecuh County,AL,3.9995662328606594
19,Coosa County,AL,3.998639230506423
20,Covington County,AL,3.9987511704133496
21,Crenshaw County,AL,3.99966418027922
22,Cullman County,AL,3.997121045518731
23,Dale County,AL,3.9991044807445872
24,Dallas County,AL,3.9986252380180574
25,DeKalb County,AL,3.9975233295592485
26,Elmore County,AL,3.996068110769202
27,Escambia County,AL,3.9991989300410564
28,Etowah County,AL,3.9939902262468765
29,Fayette County,AL,3.999793610796604
30,Franklin County,AL,3.998866608442368
31,Geneva County,AL,3.9998495807500674
32,Greene County,AL,3.998348886372832
33,Hale County,AL,3.998621739895966
34,Henry County,AL,3.9990625032794895
35,Houston County,AL,3.996148567577306
36,Jackson County,AL,3.9976212769778092
37,Jefferson County,AL,3.9454257972511755
38,Lamar County,AL,3.999440300465367
39,Lauderdale County,AL,3.9979920779195037
40,Lawrence County,AL,3.9992688924828856
41,Lee County,AL,3.979098720503543
42,Limestone County,AL,3.9966278103038353
43,Lowndes County,AL,3.9985063018669478
44,Macon County,AL,3.9986952004598866
45,Madison County,AL,3.9834783693620475
46,Marengo County,AL,3.9981914708787167
47,Marion County,AL,3.9961415713331228
48,Marshall County,AL,3.991209219184168
49,Mobile County,AL,3.9622167832901702
50,Monroe County,AL,3.999426307977001
51,Montgomery County,AL,3.9870289632848763
52,Morgan County,AL,3.9964389117108965
53,Perry County,AL,3.9995977159594824
54,Pickens County,AL,3.9978696436463026
55,Pike County,AL,3.9977542056172846
56,Randolph County,AL,3.9971350380070962
57,Russell County,AL,3.997729718762644
58,St. Clair County,AL,3.99615906194358
59,Shelby County,AL,3.980553939293589
60,Sumter County,AL,3.997950100454406
61,Talladega County,AL,3.9970545811989933
62,Tallapoosa County,AL,3.990292711196206
63,Tuscaloosa County,AL,3.990124801335816
64,Walker County,AL,3.993297598072768
65,Washington County,AL,3.998985544593477
66,Wilcox County,AL,3.9975338239255227
67,Winston County,AL,3.9994857760525555
68,Statewide Unallocated,AK,3.999895056337256
69,Aleutians East Borough,AK,4.0
70,Aleutians West Census Area,AK,4.0
71,Municipality of Anchorage,AK,3.9882812909936183
72,Bethel Census Area,AK,3.999937033802354
73,Bristol Bay Borough,AK,4.0
74,Denali Borough,AK,4.0
75,Dillingham Census Area,AK,4.0
76,Fairbanks North Star Borough,AK,3.993472504177341
77,Haines Borough,AK,4.0
78,Hoonah-Angoon Census Area,AK,4.0
79,City and Borough of Juneau,AK,3.998292916419369
80,Kenai Peninsula Borough,AK,3.998555275576228
81,Ketchikan Gateway Borough,AK,3.998380369471655
82,Kodiak Island Borough,AK,3.999968516901177
83,Kusilvak Census Area,AK,4.0
84,Lake and Peninsula Borough,AK,4.0
85,Matanuska-Susitna Borough,AK,3.998954061494654
86,Nome Census Area,AK,3.9999650187790854
87,North Slope Borough,AK,4.0
88,Northwest Arctic Borough,AK,4.0
89,Petersburg Census Area,AK,3.99983209013961
90,Prince of Wales-Hyder Census Area,AK,3.9999125469477135
91,Sitka City and Borough,AK,4.0
92,Skagway Municipality,AK,4.0
93,Southeast Fairbanks Census Area,AK,3.9999230413139877
94,Valdez-Cordova Census Area,AK,4.0
95,Wade Hampton Census Area,AK,4.0
96,Wrangell City and Borough,AK,4.0
97,Yakutat City and Borough,AK,4.0
98,Yukon-Koyukuk Census Area,AK,3.9999195431918966
99,Statewide Unallocated,AZ,3.9999790112674516
100,Apache County,AZ,3.9907159839692725
101,Cochise County,AZ,3.998576264308777
102,Coconino County,AZ,3.9778848721378073
103,Gila County,AZ,3.999587221593208
104,Graham County,AZ,3.9996921652559516
105,Greenlee County,AZ,3.9998600751163416
106,La Paz County,AZ,3.9996047122036655
107,Maricopa County,AZ,3.8199621503189705
108,Mohave County,AZ,3.996771233309585
109,Navajo County,AZ,3.969755236397261
110,Pima County,AZ,3.9427147526302964
111,Pinal County,AZ,3.98379669847237
112,Santa Cruz County,AZ,3.998947065250471
113,Yavapai County,AZ,3.9946478732000705
114,Yuma County,AZ,3.998201965244991
115,Statewide Unallocated,AR,3.9957672722693367
116,Arkansas County,AR,3.9998495807500674
117,Ashley County,AR,3.9992409075061537
118,Baxter County,AR,3.9996291990583055
119,Benton County,AR,3.9947388243744486
120,Boone County,AR,3.999685169011769
121,Bradley County,AR,3.9994822779304644
122,Calhoun County,AR,4.0
123,Carroll County,AR,3.999853078872159
124,Chicot County,AR,3.9995312516397448
125,Clark County,AR,3.9972364835477485
126,Clay County,AR,3.9999335356802623
127,Cleburne County,AR,3.992517516846373
128,Cleveland County,AR,3.9992409075061537
129,Columbia County,AR,3.9996536859129455
130,Conway County,AR,3.9995557384943847
131,Craighead County,AR,3.99702309810017
132,Crawford County,AR,3.999671176523403
133,Crittenden County,AR,3.9913106647248204
134,Cross County,AR,3.9994158136107267
135,Dallas County,AR,3.9999265394360792
136,Desha County,AR,3.9993738361456295
137,Drew County,AR,3.9994682854420986
138,Faulkner County,AR,3.9944834614617717
139,Franklin County,AR,3.9999265394360792
140,Fulton County,AR,3.999993003755817
141,Garland County,AR,3.9925699886777446
142,Grant County,AR,3.999195431918965
143,Greene County,AR,3.9993318586805318
144,Hempstead County,AR,3.999671176523403
145,Hot Spring County,AR,3.9993248624363487
146,Howard County,AR,3.9992304131398795
147,Independence County,AR,3.9993773342677206
148,Izard County,AR,3.999888060093073
149,Jackson County,AR,3.9999580225349023
150,Jefferson County,AR,3.99075796143437
151,Johnson County,AR,3.9986567211168804
152,Lafayette County,AR,3.999762127697781
153,Lawrence County,AR,3.9987581666575327
154,Lee County,AR,3.9998111014070616
155,Lincoln County,AR,3.9886136125923066
156,Little River County,AR,4.0
157,Logan County,AR,3.99985657699425
158,Lonoke County,AR,3.9979466023323145
159,Madison County,AR,3.9999405319244454
160,Marion County,AR,3.999947528168628
161,Miller County,AR,3.998170482146168
162,Mississippi County,AR,3.9994857760525555
163,Monroe County,AR,3.99983209013961
164,Montgomery County,AR,4.0
165,Nevada County,AR,3.999905550703531
166,Newton County,AR,3.9998740676047078
167,Ouachita County,AR,3.9996606821571286
168,Perry County,AR,3.999779618308238
169,Phillips County,AR,3.999779618308238
170,Pike County,AR,3.999779618308238
171,Poinsett County,AR,3.9992059262852395
172,Polk County,AR,3.9994053192444525
173,Pope County,AR,3.99771922439637
174,Prairie County,AR,3.999853078872159
175,Pulaski County,AR,3.973582181965315
176,Randolph County,AR,3.9992618962387025
177,St. Francis County,AR,3.996666289646841
178,Saline County,AR,3.9968901694606944
179,Scott County,AR,3.9999125469477135
180,Searcy County,AR,3.9993983230002694
181,Sebastian County,AR,3.9990450126690322
182,Sevier County,AR,3.999349349290989
183,Sharp County,AR,3.9998600751163416
184,Stone County,AR,3.99935284741308
185,Union County,AR,3.998331395762375
186,Van Buren County,AR,3.9975093370708823
187,Washington County,AR,3.996117084478483
188,White County,AR,3.9975688051464373
189,Woodruff County,AR,3.9998810638488904
190,Yell County,AR,3.9998915582151646
191,Statewide Unallocated,CA,3.999888060093073
192,Grand Princess Cruise Ship,CA,3.9964004323678903
193,Alameda County,CA,3.91910242851296
194,Alpine County,CA,3.9998495807500674
195,Amador County,CA,3.999412315488635
196,Butte County,CA,3.9986497248726973
197,Calaveras County,CA,3.9991359638434103
198,Colusa County,CA,3.9997551314535977
199,Contra Costa County,CA,3.9478499958605555
200,Del Norte County,CA,3.999846082627976
201,El Dorado County,CA,3.997040588710627
202,Fresno County,CA,3.9792036641662865
203,Glenn County,CA,3.999706157744318
204,Humboldt County,CA,3.995396471327642
205,Imperial County,CA,3.989376203208244
206,Inyo County,CA,3.998698698581978
207,Kern County,CA,3.961859974836842
208,Kings County,CA,3.998653222994789
209,Lake County,CA,3.999685169011769
210,Lassen County,CA,4.0
211,Los Angeles County,CA,3.115839147017909
212,Madera County,CA,3.9968062145304994
213,Marin County,CA,3.982971141658786
214,Mariposa County,CA,4.0
215,Mendocino County,CA,3.999527753517653
216,Merced County,CA,3.994721333763991
217,Modoc County,CA,4.0
218,Mono County,CA,3.9979326098439487
219,Monterey County,CA,3.990722980213455
220,Napa County,CA,3.99683070138514
221,Nevada County,CA,3.9968831732165118
222,Orange County,CA,3.8833411263719926
223,Placer County,CA,3.988158856720417
224,Plumas County,CA,3.999706157744318
225,Riverside County,CA,3.8430217711458567
226,Sacramento County,CA,3.9341863309713236
227,San Benito County,CA,3.996148567577306
228,San Bernardino County,CA,3.920592628523921
229,San Diego County,CA,3.829637956023941
230,San Francisco County,CA,3.9150061275438635
231,San Joaquin County,CA,3.9698007119844494
232,San Luis Obispo County,CA,3.987987448737936
233,San Mateo County,CA,3.9307441788333297
234,Santa Barbara County,CA,3.9736276575525036
235,Santa Clara County,CA,3.814410630559828
236,Santa Cruz County,CA,3.991177736085345
237,Shasta County,CA,3.9979326098439487
238,Sierra County,CA,4.0
239,Siskiyou County,CA,3.99952075727347
240,Solano County,CA,3.987606153429967
241,Sonoma County,CA,3.985517774541367
242,Stanislaus County,CA,3.986567211168804
243,Sutter County,CA,3.998013066652052
244,Tehama County,CA,3.9999195431918966
245,Trinity County,CA,4.0
246,Tulare County,CA,3.9764016683710297
247,Tuolumne County,CA,3.999870569482616
248,Ventura County,CA,3.969727251420529
249,Yolo County,CA,3.991464582096844
250,Yuba County,CA,3.9987091929482523
251,Statewide Unallocated,CO,3.9841954843907965
252,Adams County,CO,3.941609346049396
253,Alamosa County,CO,3.9994368023432756
254,Arapahoe County,CO,3.902699734026117
255,Archuleta County,CO,3.9995417460060194
256,Baca County,CO,3.999195431918965
257,Bent County,CO,4.0
258,Boulder County,CO,3.9743447725812526
259,Broomfield County and City,CO,3.993199650654207
260,Chaffee County,CO,3.9970650755652675
261,Cheyenne County,CO,4.0
262,Clear Creek County,CO,3.9990485107911233
263,Conejos County,CO,4.0
264,Costilla County,CO,3.999716652110592
265,Crowley County,CO,3.999825093895427
266,Custer County,CO,3.9998425845058847
267,Delta County,CO,3.9989925408376603
268,Denver County,CO,3.883474055011468
269,Dolores County,CO,4.0
270,Douglas County,CO,3.971948558948604
271,Eagle County,CO,3.957739187013105
272,Elbert County,CO,3.9985727661866854
273,El Paso County,CO,3.944341379402824
274,Fremont County,CO,3.999310869947983
275,Garfield County,CO,3.994448480240857
276,Gilpin County,CO,3.999944030046537
277,Grand County,CO,3.999548742250202
278,Gunnison County,CO,3.988907454847989
279,Hinsdale County,CO,3.999793610796604
280,Huerfano County,CO,3.999888060093073
281,Jackson County,CO,4.0
282,Jefferson County,CO,3.930723190100781
283,Kiowa County,CO,4.0
284,Kit Carson County,CO,3.9991464582096845
285,Lake County,CO,3.999538247883928
286,La Plata County,CO,3.9961695563098543
287,Larimer County,CO,3.9811975937584174
288,Las Animas County,CO,3.9998355882617016
289,Lincoln County,CO,3.9998285920175185
290,Logan County,CO,3.998639230506423
291,Mesa County,CO,3.9971560267396455
292,Mineral County,CO,3.9998180976512443
293,Moffat County,CO,3.999657184035037
294,Montezuma County,CO,3.9991359638434103
295,Montrose County,CO,3.9952985239090815
296,Morgan County,CO,3.9923426107418
297,Otero County,CO,3.99952075727347
298,Ouray County,CO,3.999706157744318
299,Park County,CO,3.9994752816862817
300,Phillips County,CO,3.999671176523403
301,Pitkin County,CO,3.994798292450003
302,Prowers County,CO,3.999944030046537
303,Pueblo County,CO,3.9943820159211194
304,Rio Blanco County,CO,3.9999195431918966
305,Rio Grande County,CO,3.99944729670955
306,Routt County,CO,3.9963654511469757
307,Saguache County,CO,3.9997516333315066
308,San Juan County,CO,4.0
309,San Miguel County,CO,3.9989400690062884
310,Sedgwick County,CO,4.0
311,Summit County,CO,3.9939447506596872
312,Teller County,CO,3.9984748187681247
313,Washington County,CO,3.9997026596222263
314,Weld County,CO,3.9288027210725707
315,Yuma County,CO,3.9997236483547747
316,Statewide Unallocated,CT,3.9642806753241304
317,Fairfield County,CT,3.478293569402159
318,Hartford County,CT,3.805598861011447
319,Litchfield County,CT,3.961786514272921
320,Middlesex County,CT,3.9733198228084556
321,New Haven County,CT,3.721245144898047
322,New London County,CT,3.9819182069092576
323,Tolland County,CT,3.982341479682324
324,Windham County,CT,3.993713874601651
325,Statewide Unallocated,DE,3.9990485107911233
326,Kent County,DE,3.9756145909004514
327,New Castle County,DE,3.923943829487537
328,Sussex County,DE,3.9487979869473406
329,Washington,DC,3.823386811846507
330,Statewide Unallocated,FL,3.999412315488635
331,Alachua County,FL,3.983034107856432
332,Baker County,FL,3.9984818150123074
333,Bay County,FL,3.9966522971584757
334,Bradford County,FL,3.9977612018614677
335,Brevard County,FL,3.9868540571803037
336,Broward County,FL,3.7228927604031234
337,Calhoun County,FL,3.9996222028141224
338,Charlotte County,FL,3.990796440777376
339,Citrus County,FL,3.9939902262468765
340,Clay County,FL,3.9856961787680314
341,Collier County,FL,3.9669147612589972
342,Columbia County,FL,3.9977052319080038
343,DeSoto County,FL,3.998254437076363
344,Dixie County,FL,3.9998215957733354
345,Duval County,FL,3.9408887328985553
346,Escambia County,FL,3.9787908857594947
347,Flagler County,FL,3.9953160145195388
348,Franklin County,FL,3.999853078872159
349,Gadsden County,FL,3.9974428727511446
350,Gilchrist County,FL,3.9997656258198724
351,Glades County,FL,3.999608210325757
352,Gulf County,FL,3.999916045069805
353,Hamilton County,FL,3.9998180976512443
354,Hardee County,FL,3.999737640843141
355,Hendry County,FL,3.997880138012577
356,Hernando County,FL,3.9940636868107973
357,Highlands County,FL,3.99527053893235
358,Hillsborough County,FL,3.9304538346997386
359,Holmes County,FL,3.999685169011769
360,Indian River County,FL,3.9934690060552493
361,Jackson County,FL,3.999380832389812
362,Jefferson County,FL,3.998845619709819
363,Lafayette County,FL,3.9999405319244454
364,Lake County,FL,3.9856716919133914
365,Lee County,FL,3.9463842827042352
366,Leon County,FL,3.9893866975745187
367,Levy County,FL,3.999338854924715
368,Liberty County,FL,3.999905550703531
369,Madison County,FL,3.9986147436517827
370,Manatee County,FL,3.9765625819872366
371,Marion County,FL,3.9919543191896483
372,Martin County,FL,3.9897225172952986
373,Miami-Dade County,FL,3.377600124999563
374,Monroe County,FL,3.9945324351710525
375,Nassau County,FL,3.996953135658341
376,Okaloosa County,FL,3.990810433265742
377,Okeechobee County,FL,3.999569730982751
378,Orange County,FL,3.913348017672513
379,Osceola County,FL,3.9705563063562046
380,Palm Beach County,FL,3.8533202425831066
381,Pasco County,FL,3.985874582994696
382,Pinellas County,FL,3.9567841996821373
383,Polk County,FL,3.977430116265918
384,Putnam County,FL,3.9963409642923358
385,St. Johns County,FL,3.9845557909662164
386,St. Lucie County,FL,3.986833068447755
387,Santa Rosa County,FL,3.99087689758548
388,Sarasota County,FL,3.979756367456737
389,Seminole County,FL,3.976489121423316
390,Sumter County,FL,3.9895371168244513
391,Suwannee County,FL,3.9946618656884363
392,Taylor County,FL,3.9999125469477135
393,Union County,FL,3.999825093895427
394,Volusia County,FL,3.9786684514862936
395,Wakulla County,FL,3.999142960087593
396,Walton County,FL,3.99719100796056
397,Washington County,FL,3.999608210325757
398,Statewide Unallocated,GA,3.929407896194393
399,Appling County,GA,3.998667215483155
400,Atkinson County,GA,3.999737640843141
401,Bacon County,GA,3.998821132855179
402,Baker County,GA,3.9989085859074653
403,Baldwin County,GA,3.994000720613151
404,Banks County,GA,3.999272390604977
405,Barrow County,GA,3.9946023976128817
406,Bartow County,GA,3.9778498909168927
407,Ben Hill County,GA,3.9991009826224957
408,Berrien County,GA,3.9994053192444525
409,Bibb County,GA,3.9902542318532
410,Bleckley County,GA,3.999748135209415
411,Brantley County,GA,3.9991324657213188
412,Brooks County,GA,3.9984468337913928
413,Bryan County,GA,3.99752682768134
414,Bulloch County,GA,3.99843983754721
415,Burke County,GA,3.9973799065534985
416,Butts County,GA,3.9962919905830554
417,Calhoun County,GA,3.996131076966848
418,Camden County,GA,3.998278923931003
419,Candler County,GA,3.9996431915466717
420,Carroll County,GA,3.979014765573348
421,Catoosa County,GA,3.9985272905994966
422,Charlton County,GA,3.9996047122036655
423,Chatham County,GA,3.9877250895810765
424,Chattahoochee County,GA,3.999618704692031
425,Chattooga County,GA,3.9993843305119032
426,Cherokee County,GA,3.979997737881048
427,Clarke County,GA,3.9912616910155396
428,Clay County,GA,3.998744174169167
429,Clayton County,GA,3.9656589354281646
430,Clinch County,GA,3.9995732291048425
431,Cobb County,GA,3.9240487731502807
432,Coffee County,GA,3.995207572734704
433,Colquitt County,GA,3.991975307922197
434,Columbia County,GA,3.9933430736599567
435,Cook County,GA,3.9993598436572633
436,Coweta County,GA,3.989463656260531
437,Crawford County,GA,3.9994368023432756
438,Crisp County,GA,3.993189156287933
439,Dade County,GA,3.9995417460060194
440,Dawson County,GA,3.9972924535012124
441,Decatur County,GA,3.997016101855987
442,DeKalb County,GA,3.9064567171523423
443,Dodge County,GA,3.9988491178319103
444,Dooly County,GA,3.99599115208319
445,Dougherty County,GA,3.8990092152196296
446,Douglas County,GA,3.984842636977716
447,Early County,GA,3.9892012971036714
448,Echols County,GA,3.9997971089186954
449,Effingham County,GA,3.998142497169436
450,Elbert County,GA,3.9995732291048425
451,Emanuel County,GA,3.999296877459617
452,Evans County,GA,3.9998810638488904
453,Fannin County,GA,3.9988806009307334
454,Fayette County,GA,3.9900583370160785
455,Floyd County,GA,3.990054838893987
456,Forsyth County,GA,3.987308813052193
457,Franklin County,GA,3.9993843305119032
458,Fulton County,GA,3.85265559938573
459,Gilmer County,GA,3.999251401872428
460,Glascock County,GA,4.0
461,Glynn County,GA,3.9965403572515488
462,Gordon County,GA,3.9959701633506413
463,Grady County,GA,3.998355882617015
464,Greene County,GA,3.997439374629053
465,Gwinnett County,GA,3.929453371781582
466,Habersham County,GA,3.9961345750889397
467,Hall County,GA,3.964266682835764
468,Hancock County,GA,3.999611708447848
469,Haralson County,GA,3.998516796233222
470,Harris County,GA,3.997813673692839
471,Hart County,GA,3.999618704692031
472,Heard County,GA,3.9995732291048425
473,Henry County,GA,3.9754641716505192
474,Houston County,GA,3.989099851563019
475,Irwin County,GA,3.9989890427155688
476,Jackson County,GA,3.99702309810017
477,Jasper County,GA,3.9991464582096845
478,Jeff Davis County,GA,3.9997516333315066
479,Jefferson County,GA,3.999394824878178
480,Jenkins County,GA,3.9992409075061537
481,Johnson County,GA,3.99836637698329
482,Jones County,GA,3.9988875971749165
483,Lamar County,GA,3.998401358204204
484,Lanier County,GA,3.9995977159594824
485,Laurens County,GA,3.9970685736873586
486,Lee County,GA,3.9797458730904625
487,Liberty County,GA,3.998156489657802
488,Lincoln County,GA,3.999272390604977
489,Long County,GA,3.999853078872159
490,Lowndes County,GA,3.993476002299432
491,Lumpkin County,GA,3.998635732384332
492,McDuffie County,GA,3.9979920779195037
493,McIntosh County,GA,3.999737640843141
494,Macon County,GA,3.9974638614836935
495,Madison County,GA,3.998947065250471
496,Marion County,GA,3.998723185436618
497,Meriwether County,GA,3.9976107826115346
498,Miller County,GA,3.9986567211168804
499,Mitchell County,GA,3.9868575553023953
500,Monroe County,GA,3.9988491178319103
501,Montgomery County,GA,3.9999020525814393
502,Morgan County,GA,3.998786151634264
503,Murray County,GA,3.9987686610238073
504,Muscogee County,GA,3.987462730424217
505,Newton County,GA,3.9915730238816796
506,Oconee County,GA,3.996487885420177
507,Oglethorpe County,GA,3.9984958075006736
508,Paulding County,GA,3.991426102753838
509,Peach County,GA,3.9978311643032964
510,Pickens County,GA,3.9987406760470754
511,Pierce County,GA,3.996704768989847
512,Pike County,GA,3.9983278976402836
513,Polk County,GA,3.9974358765069615
514,Pulaski County,GA,3.998975050227203
515,Putnam County,GA,3.999006533326026
516,Quitman County,GA,3.999786614552421
517,Rabun County,GA,3.99949627041883
518,Randolph County,GA,3.9917094506432464
519,Richmond County,GA,3.9853673552914346
520,Rockdale County,GA,3.9907929426552844
521,Schley County,GA,3.9990170276923003
522,Screven County,GA,3.9993738361456295
523,Seminole County,GA,3.998537784965771
524,Spalding County,GA,3.992734400416043
525,Stephens County,GA,3.998023561018327
526,Stewart County,GA,3.9992758887270683
527,Sumter County,GA,3.9808407853050887
528,Talbot County,GA,3.9990694995236726
529,Taliaferro County,GA,4.0
530,Tattnall County,GA,3.9995977159594824
531,Taylor County,GA,3.99932836055844
532,Telfair County,GA,3.999195431918965
533,Terrell County,GA,3.990261228097383
534,Thomas County,GA,3.9928428422008784
535,Tift County,GA,3.9942350947932788
536,Toombs County,GA,3.9988421215877277
537,Towns County,GA,3.999401821122361
538,Treutlen County,GA,3.999916045069805
539,Troup County,GA,3.994098668031712
540,Turner County,GA,3.9969076600711517
541,Twiggs County,GA,3.9996816708896774
542,Union County,GA,3.9992758887270683
543,Upson County,GA,3.9918703642594533
544,Walker County,GA,3.9987266835587096
545,Walton County,GA,3.9961940431644942
546,Ware County,GA,3.995088636583594
547,Warren County,GA,3.99935284741308
548,Washington County,GA,3.9983628788611982
549,Wayne County,GA,3.999587221593208
550,Webster County,GA,3.999678172767586
551,Wheeler County,GA,3.9998041051628785
552,White County,GA,3.9986637173610635
553,Whitfield County,GA,3.9972329854256574
554,Wilcox County,GA,3.99803055726251
555,Wilkes County,GA,3.999170945064325
