,State,County,Water
0,AL,Autauga County,1.0913909705721074
1,AL,Baldwin County,1.0022804809078139
2,AL,Barbour County,1.0484519598817772
3,AL,Bibb County,1.2180549498473616
4,AL,Blount County,1.146606069491277
5,AL,Bullock County,1.2995805871779509
6,AL,Butler County,1.4870920603994155
7,AL,Calhoun County,1.1351899418683251
8,AL,Chambers County,1.131891321551042
9,AL,Cherokee County,1.0211604384442845
10,AL,Chilton County,1.1117568171658472
11,AL,Choctaw County,1.1196315348725925
12,AL,Clarke County,1.066185717122245
13,AL,Clay County,1.3289473684210527
14,AL,Cleburne County,1.5238344683080145
15,AL,Coffee County,1.3985651654045435
16,AL,Colbert County,1.031347962382445
17,AL,Conecuh County,1.2805049088359046
18,AL,Coosa County,1.0608902149424588
19,AL,Covington County,1.0697788012001954
20,AL,Crenshaw County,1.3250975292587777
21,AL,Cullman County,1.047341760166643
22,AL,Dale County,1.3920031360250882
23,AL,Dallas County,1.0620732464307883
24,AL,DeKalb County,1.3859513701273638
25,AL,Elmore County,1.025282532298435
26,AL,Escambia County,1.1103874599845458
27,AL,Etowah County,1.069710700592541
28,AL,Fayette County,1.374251497005988
29,AL,Franklin County,1.0729607471180505
30,AL,Geneva County,1.180407721450478
31,AL,Greene County,1.0722752240531945
32,AL,Hale County,1.0737571913261543
33,AL,Henry County,1.1322926313004364
34,AL,Houston County,1.3557452863749555
35,AL,Jackson County,1.0200388754183116
36,AL,Jefferson County,1.0739207569485512
37,AL,Lamar County,1.6180469715698393
38,AL,Lauderdale County,1.0189035916824196
39,AL,Lawrence County,1.0363372093023255
40,AL,Lee County,1.1075615790039797
41,AL,Limestone County,1.0207262477201127
42,AL,Lowndes County,1.0984348853233585
43,AL,Macon County,1.1886792452830188
44,AL,Madison County,1.0826036676028417
45,AL,Marengo County,1.1472970982471646
46,AL,Marion County,1.4387889425186486
47,AL,Marshall County,1.0171417796595643
48,AL,Mobile County,1.0024060902957566
49,AL,Monroe County,1.1027749229188077
50,AL,Montgomery County,1.0604302634759488
51,AL,Morgan County,1.0483231854643857
52,AL,Perry County,1.191717791411043
53,AL,Pickens County,1.1031459515214028
54,AL,Pike County,1.525762355415352
55,AL,Randolph County,1.2181025081788441
56,AL,Russell County,1.1420858198351804
57,AL,St. Clair County,1.0439850450846713
58,AL,Shelby County,1.0397535281256212
59,AL,Sumter County,1.0958497076583917
60,AL,Talladega County,1.0407680704472257
61,AL,Tallapoosa County,1.0197106476918831
62,AL,Tuscaloosa County,1.0327075292732386
63,AL,Walker County,1.0666666666666667
64,AL,Washington County,1.1068490223314456
65,AL,Wilcox County,1.050218450258625
66,AL,Winston County,1.0502790487203981
67,AK,Aleutians East Borough,1.0001245453937446
68,AK,Aleutians West Census Area,1.0001028049614085
69,AK,Anchorage Municipality,1.0038910505836576
70,AK,Bethel Census Area,1.0002026245553404
71,AK,Bristol Bay Borough,1.0025992794797283
72,AK,Denali Borough,1.037723037458976
73,AK,Dillingham Census Area,1.0004260233827194
74,AK,Fairbanks North Star Borough,1.0093240093240092
75,AK,Haines Borough,1.0024613264088018
76,AK,Hoonah-Angoon Census Area,1.000331953182651
77,AK,Juneau City and Borough,1.0018085831740273
78,AK,Kenai Peninsula Borough,1.0001152321588065
79,AK,Ketchikan Gateway Borough,1.0005567451343258
80,AK,Kodiak Island Borough,1.0001827323084975
81,AK,Kusilvak Census Area,1.0003857243420988
82,AK,Lake and Peninsula Borough,1.0001055630458402
83,AK,Matanuska-Susitna Borough,1.00153685611492
84,AK,Nome Census Area,1.0001880810764858
85,AK,North Slope Borough,1.0001639433221705
86,AK,Northwest Arctic Borough,1.0002006291328347
87,AK,Petersburg Borough,1.0010783322082735
88,AK,Prince of Wales-Hyder Census Area,1.0001781138350456
89,AK,Sitka City and Borough,1.0005149272253353
90,AK,Skagway Municipality,1.0786720163637793
91,AK,Southeast Fairbanks Census Area,1.0034310849433699
92,AK,Valdez-Cordova Census Area,1.0001639067233064
93,AK,Wrangell City and Borough,1.0010850953473283
